,completeness,A1-A1,A1-A2,A1-B,B-A1,B-B,form_name
0,100.0,7,0,0,1,26,00_00_bao_cao_tot_nghiep_du_hoc_sinh.txt
1,100.0,18,1,0,1,0,01_00_BCC_thuc_hien_trach_nhiem_du_hoc_sinh.txt
2,100.0,14,0,0,0,5,02_00_cap_chinh_sach_noi_tru.txt
3,100.0,19,0,0,1,22,03_00_cap_chinh_sach_noi_tru_dang_hoc.txt
4,100.0,13,0,0,0,7,06_00_cap_GPLX_quoc_te.txt
5,100.0,8,0,0,0,22,07_00_cap_lai_the_BHYT.txt
6,100.0,14,0,0,0,1,08_00_cccd.txt
7,100.0,13,0,0,0,9,09_00_cham_dut_huong_tro_cap_that_nghiep.txt
8,100.0,15,0,0,0,10,10_00_chuyen_noi_huong_tro_cap_that_nghiep.txt
9,100.0,28,0,0,0,1,11_00_dang_ky_khai_sinh.txt
10,100.0,7,0,4,0,11,12_00_DDN_cap_doi_GPLX.txt
11,100.0,7,0,0,0,20,13_00_DDN_gia_han_time_hoc_nuoc_ngoai.txt
12,100.0,12,0,8,0,11,14_00_DDN_ho_tro_chi_phi_mai_tang.txt
13,100.0,10,0,0,0,2,15_00_DDN_ho_tro_hoc_tap.txt
14,100.0,11,0,1,1,12,16_00_DDN_huong_che_do_benh_nghe_nghiep.txt
15,100.0,16,0,0,1,27,17_00_de_nghi_ho_tro_hoc_nghe.txt
16,100.0,15,0,0,1,16,18_00_de_nghi_huong_tro_cap_that_nghiep.txt
17,100.0,15,0,0,0,5,19_00_de_nghi_khong_huong_tro_cap_that_nghiep.txt
18,100.0,30,0,5,1,17,20_00_de_nghi_Nhan_che_do_BHXH_khi_nguoi_huong_tu_tran.txt
19,100.0,13,0,0,1,6,21_00_de_nghi_xac_nhan_cap_ho_tro.txt
20,100.0,13,0,0,0,13,22_00_dk_xe1.txt
21,100.0,15,0,0,0,12,23_00_doi_ho_ten_cho_con.txt
22,100.0,13,0,0,0,16,24_00_don_de_nghi_ho_tro.txt
23,100.0,17,0,0,0,2,25_00_don_de_nghi_xac _minh_cmnd.txt
24,100.0,11,1,1,1,2,26_00_don_khieu_nai.txt
25,100.0,10,0,1,0,23,27_00_don_khoi_kien.txt
26,100.0,19,0,0,0,3,28_00_don_to_cao.txt
27,100.0,10,0,0,0,10,29_00_don_xin_chuyen_truong_tieu_hoc_trong_nuoc.txt
28,100.0,6,0,0,2,6,30_00_don_xin_giao_dat.txt
29,100.0,8,0,0,0,6,31_00_don_xin_mien_giam_hoc_phi.txt
30,100.0,10,0,0,0,10,32_00_don_xin_rut_ho_so.txt
31,100.0,4,0,0,0,8,33_00_don_xin_thoi_hoc.txt
32,100.0,14,0,0,0,6,34_00_giay_cam_ket.txt
33,100.0,8,0,0,0,6,35_00_giay_de_nghi_kham_giam_dinh.txt
34,100.0,6,0,1,0,19,36_00_giay_de_nghi_mua_dien_cho_ngoai_sinh_hoat.txt
35,100.0,5,0,2,0,25,37_00_giay_phep_xay_dung.txt
36,100.0,22,2,0,0,6,38_00_giay_uy_quyen.txt
37,100.0,5,0,6,0,13,39_00_hoi_dap_chi_cuc_thue.txt
38,100.0,17,0,0,0,12,40_00_mau_giay_gioi_thieu_denghi_giam_dinh.txt
39,100.0,11,0,0,0,20,41_00_Mẫu số 16 - TT 28.txt
40,100.0,19,0,0,0,10,42_00_Mẫu TK04 khôi phục HC TK04 MỚI.txt
41,100.0,20,0,0,0,9,43_00_Mẫu TK05 báo mất HC 05 7 TK05 MỚI.txt
42,100.0,12,0,0,3,15,44_00_Quyet_dinh_viec_nghi_viec_huong_che_do_huu_tri.txt
43,100.0,9,0,0,0,4,45_00_thay_doi_thong_tin_cu_tru.txt
44,100.0,17,0,0,0,12,46_00_thay_doi_thong_tin_cu_tru_nuoc_ngoai.txt
45,100.0,11,0,2,0,7,47_00_thay_doi_thong_tin_nguoi_huong.txt
46,100.0,4,0,0,0,7,48_00_thong_tin_co_ban.txt
47,100.0,12,0,4,0,22,49_00_TK1-TS.txt
48,100.0,16,0,0,0,11,50_00_TKDK_thay_doi_bo_sung_ho_tich_xacdinhlai_dantoc.txt
49,100.0,36,0,1,0,5,51_00_TK_cap_ho_chieu_tre_em.txt
50,100.0,23,0,0,0,3,52_00_TK_dang_ky_CMC.txt
51,100.0,25,0,1,0,5,53_00_TK_DKLai_viec_nuoi_con_nuoi.txt
52,100.0,23,0,0,0,7,54_00_TK_DK_cham_dut_giam_ho.txt
53,100.0,23,0,0,0,2,55_00_TK_DK_giam_ho.txt
54,100.0,15,0,0,1,13,56_00_TK_DK_khai_tu.txt
55,100.0,23,0,0,0,3,57_00_TK_DK_nhan_CMC.txt
56,100.0,10,0,0,0,4,58_00_TK_thay_doi_thong_tin_cu_tru.txt
57,100.0,2,0,0,0,40,59_00_to_khai_thue_thu_nhap_ca_nhan.txt
58,100.0,17,0,1,0,1,60_00_xac_minh_cccd.txt
59,100.0,6,0,0,0,20,61_00_xac_nhan_thu_nhap.txt
60,100.0,14,0,0,0,13,62_00_xet_cap_hoc_bong_chinh_sach.txt
61,100.0,4,0,0,0,5,63_00_xinviec.txt
62,100.0,8,0,1,0,7,64_00_ĐN_chi_tra_tien_mien_giam_hoc_phi.txt
