,completeness,A1-A1,A1-A2,A1-B,B-A1,B-B,error A1-A2,error A1-B,error B-A1,form_name
0,100.0,7,0,0,0,25,[],[],[],00_01_bao_cao_tot_nghiep_du_hoc_sinh.txt
1,100.0,22,1,0,1,0,"[('user0_current_status', 'user0_occupation')]",[],"[('#another', 'user0_occupation')]",01_01_BCC_thuc_hien_trach_nhiem_du_hoc_sinh.txt
2,100.0,11,0,0,0,5,[],[],[],02_01_cap_chinh_sach_noi_tru.txt
3,100.0,17,0,0,1,22,[],[],"[('#another', 'receiver')]",03_01_cap_chinh_sach_noi_tru_dang_hoc.txt
4,100.0,15,0,1,0,7,[],"[('user0_alias_name', '#another')]",[],06_01_cap_GPLX_quoc_te.txt
5,100.0,5,0,0,0,23,[],[],[],07_01_cap_lai_the_BHYT.txt
6,100.0,15,0,0,0,0,[],[],[],08_01_cccd.txt
7,100.0,16,0,0,0,1,[],[],[],08_02_cccd.txt
8,100.0,12,0,2,0,7,[],"[('receiver', '#another'), ('receiver', '#another')]",[],09_01_cham_dut_huong_tro_cap_that_nghiep.txt
9,100.0,11,0,1,0,8,[],"[('user0_alias_name', '#another')]",[],10_01_chuyen_noi_huong_tro_cap_that_nghiep.txt
10,100.0,27,0,0,0,1,[],[],[],11_01_dang_ky_khai_sinh.txt
11,100.0,25,0,2,0,1,[],"[('user0_dob_month', '#another'), ('user0_dob_year', '#another')]",[],11_02_dang_ky_khai_sinh.txt
12,100.0,27,0,0,0,1,[],[],[],11_03_dang_ky_khai_sinh.txt
13,100.0,11,0,4,0,11,[],"[('place', '#another'), ('day', '#another'), ('month', '#another'), ('year', '#another')]",[],12_01_DDN_cap_doi_GPLX.txt
14,100.0,7,0,0,0,18,[],[],[],13_01_DDN_gia_han_time_hoc_nuoc_ngoai.txt
15,100.0,12,0,8,0,11,[],"[('user0_full_name', '#another'), ('user0_dob', '#another'), ('user0_gender', '#another'), ('user0_ethnicity', '#another'), ('user0_permanent_address', '#another'), ('user0_full_name', '#another'), ('user0_dob_month', '#another'), ('user0_dob_year', '#another')]",[],14_01_DDN_ho_tro_chi_phi_mai_tang.txt
16,100.0,11,0,0,0,2,[],[],[],15_01_DDN_ho_tro_hoc_tap.txt
17,100.0,16,0,0,4,9,[],[],"[('#another', 'user0_occupation'), ('#another', 'day'), ('#another', 'month'), ('#another', 'receiver')]",16_01_DDN_huong_che_do_benh_nghe_nghiep.txt
18,100.0,16,0,0,0,18,[],[],[],17_01_de_nghi_ho_tro_hoc_nghe.txt
19,100.0,14,0,0,0,22,[],[],[],17_02_de_nghi_ho_tro_hoc_nghe.txt
20,100.0,16,0,0,0,15,[],[],[],18_01_de_nghi_huong_tro_cap_that_nghiep.txt
21,100.0,18,0,0,0,14,[],[],[],18_02_de_nghi_huong_tro_cap_that_nghiep.txt
22,100.0,18,0,0,0,5,[],[],[],19_01_de_nghi_khong_huong_tro_cap_that_nghiep.txt
23,100.0,15,0,0,0,5,[],[],[],19_02_de_nghi_khong_huong_tro_cap_that_nghiep.txt
